ID,kwh
2024-09-24_consumer_device_12_data_user_1,0.0005452200788846761
2024-09-25_consumer_device_12_data_user_1,0.0005453574589814499
2024-09-26_consumer_device_12_data_user_1,0.0007167883875540443
2024-09-27_consumer_device_12_data_user_1,0.0006551622477445237
2024-09-28_consumer_device_12_data_user_1,0.0005780575466406521
2024-09-29_consumer_device_12_data_user_1,0.0006536373780779964
2024-09-30_consumer_device_12_data_user_1,0.0005980593997813179
2024-10-01_consumer_device_12_data_user_1,0.0005855309769528515
2024-10-02_consumer_device_12_data_user_1,0.0006313611320680314
2024-10-03_consumer_device_12_data_user_1,0.0006125409037601418
2024-10-04_consumer_device_12_data_user_1,0.0006074073389627806
2024-10-05_consumer_device_12_data_user_1,0.000628182432552168
2024-10-06_consumer_device_12_data_user_1,0.0006125883176495121
2024-10-07_consumer_device_12_data_user_1,0.0006100456374529838
2024-10-08_consumer_device_12_data_user_1,0.0006195283125463806
2024-10-09_consumer_device_12_data_user_1,0.0006123088389909916
2024-10-10_consumer_device_12_data_user_1,0.000612593564311704
2024-10-11_consumer_device_12_data_user_1,0.000617751236815864
2024-10-12_consumer_device_12_data_user_1,0.0006138010122754932
2024-10-13_consumer_device_12_data_user_1,0.0006141160928733235
2024-10-14_consumer_device_12_data_user_1,0.0006162553106033477
2024-10-15_consumer_device_12_data_user_1,0.0006140493012918594
2024-10-16_consumer_device_12_data_user_1,0.000614387755816564
2024-10-17_consumer_device_12_data_user_1,0.0006154500569941878
2024-10-18_consumer_device_12_data_user_1,0.0006143622066460128
2024-10-19_consumer_device_12_data_user_1,0.0006146645830080401
2024-10-20_consumer_device_12_data_user_1,0.0006151407551531693
2024-10-21_consumer_device_12_data_user_1,0.0006145604978049673
2024-10-22_consumer_device_12_data_user_1,0.0006147399890131415
2024-10-23_consumer_device_12_data_user_1,0.0006149419016599086
2024-10-24_consumer_device_12_data_user_1,0.0
2024-09-24_consumer_device_12_data_user_10,0.0003843320991121126
2024-09-25_consumer_device_12_data_user_10,0.000398450834272403
2024-09-26_consumer_device_12_data_user_10,0.0004988275450455511
2024-09-27_consumer_device_12_data_user_10,0.00046955788285556427
2024-09-28_consumer_device_12_data_user_10,0.0004132189803498101
2024-09-29_consumer_device_12_data_user_10,0.0004576629190238974
2024-09-30_consumer_device_12_data_user_10,0.000424238856032788
2024-10-01_consumer_device_12_data_user_10,0.0004180440350511399
2024-10-02_consumer_device_12_data_user_10,0.0004437497849195814
2024-10-03_consumer_device_12_data_user_10,0.0004359078191249842
2024-10-04_consumer_device_12_data_user_10,0.0004321817613715787
2024-10-05_consumer_device_12_data_user_10,0.00044331524903135473
2024-10-06_consumer_device_12_data_user_10,0.0004349244151970836
2024-10-07_consumer_device_12_data_user_10,0.00043318391099862735
2024-10-08_consumer_device_12_data_user_10,0.0004378203040392152
2024-10-09_consumer_device_12_data_user_10,0.00043460796687960844
2024-10-10_consumer_device_12_data_user_10,0.00043464607734412406
2024-10-11_consumer_device_12_data_user_10,0.0004372568207011537
2024-10-12_consumer_device_12_data_user_10,0.0004354697824535042
2024-10-13_consumer_device_12_data_user_10,0.00043551396213391155
2024-10-14_consumer_device_12_data_user_10,0.00043645358761822687
2024-10-15_consumer_device_12_data_user_10,0.00043549357726588967
2024-10-16_consumer_device_12_data_user_10,0.0004355910946041959
